fecha,tweet,candidato,retweets,replies,likes,quotes,impresiones,valencia,emocion,postura,tono,amabilidad,legibilidad,controversialidad,informatividad,sensitivo
2023-05-15,"La Sala Sexta del Tribunal de lo Contencioso Administrativo dio trámite al Amparo interpuesto por el partido político Cambio, de la familia de Manuel Baldizón, en contra de la Segunda Asamblea Nacional del Partido PC  lo que pone en peligro la candidatura  de Carlos Pineda. https://t.co/e0LF5XG78y",carlos pineda,4,1,3,0,1030,negativo,preocupación,desaprobación,informativo,0.8,0.9,0.5,0.9,False
2023-05-15,"Sala requiere informe circunstanciado al Registro de Ciudadanos, por el amparo contra el partido Prosperidad Ciudadana, que podría sacar  de la contienda a Carlos Pineda. https://t.co/NP0HYl0eZn",carlos pineda,2,0,4,1,1915,negativo,enojo,desaprobación,informativo,0.5,1.0,0.7,0.9,False
2023-05-15,"#EleccionesGuate2023 🇬🇹 | Sala da trámite a amparo que podría dejar fuera del proceso electoral a Carlos Pineda de Prosperidad Ciudadana.

Esto se sabe 👇 
 https://t.co/0UNIhNdpvR",carlos pineda,5,4,24,3,5701,neutro,otro,indiferencia,informativo,0.8,1.0,0.5,0.9,False
2023-05-15,"#BreakingNews Sala requiere informe circunstanciado al Registro de Ciudadanos, por el amparo contra el partido Prosperidad Ciudadana, que podría sacar  de la contienda a Carlos Pineda.  Vía : @MarcosCahuex___ @CanalAntigua https://t.co/jbKDBWCzXs",carlos pineda,10,3,23,3,7147,negativo,enojo,desaprobación,informativo,0.5,1.0,0.8,1.0,False
2023-05-15,"No soy partidario ni de cerca de Carlos Pineda, pero defiendo la democracia y el derecho de elegir y ser electos... carecemos de certeza jurídica en las cortes.",carlos pineda,0,0,2,1,303,neutro,indiferencia,esperanza,serio,0.8,0.9,0.4,0.8,False
2023-05-15,"Estos son los personajes que rodean a la figura de Carlos Pineda, el candidato que se vende sin vínculos políticos. Lo cierto es que el partido Prosperidad Ciudadana está plagado de personajes con ordenes de captura.

#Elecciones2021
#CarlosPineda

https://t.co/xeCyt11qdB https://t.co/AR3N1XUra5",carlos pineda,0,0,0,0,445,negativo,indignación,desaprobación,informativo,0.5,0.8,0.7,0.9,False
2023-05-15,"🗳️ ELECCIONES 2023 ⎮ Tribunal da trámite a amparo que pone en riesgo la candidatura de Carlos Pineda

El Tribunal exigió al TSE una papelería que podría ser clave en el proceso. 

Aquí más detalles: https://t.co/CAqWmIfoX9 https://t.co/4PPvl8Fu1R",carlos pineda,2,0,2,0,437,negativo,preocupación,desaprobación,informativo,0.5,1.0,0.7,0.9,False
2023-05-15,🔴 ¿Se perdió el programa? Escúchelo aquí: https://t.co/ua9E9O5vPN ✔58:10 Análisis de Situación: Elecciones 2023✔1:29:37 Entrevista con el candidato Marcio Cuevas #VotaConCriterio✔1:54:42 Haz tus sesiones menos aburridas✔2:15:10 Carlos Pineda atrae candidatos a otro partido https://t.co/krZ4LtBbPe,carlos pineda,1,0,2,0,2089,neutro,otro,indiferencia,informativo,0.8,0.9,0.2,0.8,False
2023-05-15,"(Tv26Television) #GT Tribunal da trámite a amparo que pone en riesgo la candidatura de Carlos Pineda El Tribunal exigió al TSE una papelería que podría ser clave en el proceso.
#URGENTE https://t.co/Y9vjipSxvA",carlos pineda,0,0,0,1,69,negativo,preocupación,desaprobación,informativo,0.5,1.0,0.8,0.9,False
2023-05-16,"No soy partidaria de Carlos Pineda, pero quieren sacar de la contienda a todos los que van adelante por qué la Zury no levanta. Lo mismo le quisieron hacer a Mulet y dejaron fuera a  Roberto Arzú https://t.co/7LPoMZnOXj",carlos pineda,0,0,0,0,128,neutro,indiferencia,desaprobación,informativo,0.8,0.9,0.4,0.8,False
